TYPE,SOURCE,DATE,SUMMARY,INDEXS,DATA,DATA_HR,SUMMARY_HR,SYNC,SYNC_QQHEALTH,TIME_ZONE,DEVICE_ID,USER_SUMMARY
0,5,2015-12-29,"{""v"":5,""slp"":{""st"":1451327400,""ed"":1451327400,""dp"":0,""lt"":0,""wk"":0},""stp"":{""ttl"":15572,""dis"":11275,""cal"":620,""wk"":190,""rn"":0,""runDist"":110,""runCal"":6},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-30,"{""v"":5,""slp"":{""st"":1451418300,""ed"":1451445480,""dp"":180,""lt"":271,""wk"":2},""stp"":{""ttl"":5272,""dis"":3641,""cal"":209,""wk"":82,""rn"":0,""runDist"":54,""runCal"":2},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-31,"{""v"":5,""slp"":{""st"":1451511960,""ed"":1451534580,""dp"":162,""lt"":201,""wk"":14},""stp"":{""ttl"":8638,""dis"":6085,""cal"":345,""wk"":114,""rn"":0,""runDist"":0,""runCal"":0},""goal"":10000}",,,,,1,1,,,
0,5,2016-01-01,"{""v"":5,""slp"":{""st"":1451586600,""ed"":1451586600,""dp"":0,""lt"":0,""wk"":0},""stp"":{""ttl"":8756,""dis"":6131,""cal"":352,""wk"":108,""rn"":5,""runDist"":533,""runCal"":30},""goal"":10000}",,,,,1,1,,,
0,5,2016-01-02,"{""v"":5,""slp"":{""st"":1451673000,""ed"":1451673000,""dp"":0,""lt"":0,""wk"":0},""stp"":{""ttl"":880,""dis"":592,""cal"":35,""wk"":11,""rn"":0,""runDist"":0,""runCal"":0},""goal"":10000}",,,,,1,1,,,
0,5,2016-01-03,"{""v"":5,""slp"":{""st"":1451759400,""ed"":1451759400,""dp"":0,""lt"":0,""wk"":0},""stp"":{""ttl"":3188,""dis"":2190,""cal"":125,""wk"":42,""rn"":0,""runDist"":0,""runCal"":0},""goal"":10000}",,,,,1,1,,,
0,5,2016-01-04,"{""v"":5,""slp"":{""st"":1451851380,""ed"":1451877360,""dp"":80,""lt"":294,""wk"":59},""stp"":{""ttl"":1710,""dis"":1131,""cal"":69,""wk"":37,""rn"":0,""runDist"":42,""runCal"":2},""goal"":10000}",,,,,1,1,,,
0,5,2016-01-05,"{""v"":5,""slp"":{""st"":1451941260,""ed"":1451967420,""dp"":132,""lt"":274,""wk"":30},""stp"":{""ttl"":7965,""dis"":5415,""cal"":308,""wk"":109,""rn"":1,""runDist"":127,""runCal"":6},""goal"":10000}",,,,,1,1,,,
0,5,2016-01-06,"{""v"":5,""slp"":{""st"":1452029760,""ed"":1452053520,""dp"":146,""lt"":246,""wk"":4},""stp"":{""ttl"":4375,""dis"":2936,""cal"":173,""wk"":71,""rn"":2,""runDist"":207,""runCal"":11},""goal"":10000}",,,,,1,1,,,
0,5,2016-01-07,"{""v"":5,""slp"":{""st"":1452112080,""ed"":1452137760,""dp"":154,""lt"":274,""wk"":0},""stp"":{""ttl"":2973,""dis"":1967,""cal"":119,""wk"":53,""rn"":0,""runDist"":0,""runCal"":0},""goal"":10000}",,,,,1,1,,,
