RecordedDate	startTime	endTime	Calories	Distance	Height	lowLatitude	lowLongitude	highLatitude	highLongitude	avgSpeed	maxSpeed	minSpeed	stepCount	avgWeight	maxWeight	minWeight	bikingDuration	inactiveDuration	walkingDuration
11-23-2014	13:15:00.000+05:30	13:30:00.000+05:30																900000	
11-23-2014	13:30:00.000+05:30	13:45:00.000+05:30				22.7589778900146	88.3745040893555	22.7591285705566	88.3747329711914									900000	
11-23-2014	13:45:00.000+05:30	14:00:00.000+05:30				22.759334564209	88.3750381469727	22.759334564209	88.3750381469727				2					900000	
11-23-2014	14:00:00.000+05:30	14:15:00.000+05:30				22.7591400146484	88.3747482299805	22.7593364715576	88.3750381469727									900000	
11-23-2014	14:15:00.000+05:30	14:30:00.000+05:30											1					900000	
11-23-2014	14:30:00.000+05:30	14:45:00.000+05:30																900000	
11-23-2014	14:45:00.000+05:30	15:00:00.000+05:30				22.758975982666	88.37451171875	22.758975982666	88.37451171875									900000	
11-23-2014	15:00:00.000+05:30	15:15:00.000+05:30				22.758975982666	88.37451171875	22.759334564209	88.3750381469727				2					900000	
11-23-2014	15:15:00.000+05:30	15:30:00.000+05:30				22.7591381072998	88.374755859375	22.759334564209	88.3750381469727				5					900000	
11-23-2014	15:30:00.000+05:30	15:45:00.000+05:30				22.759334564209	88.3750381469727	22.759334564209	88.3750381469727				4					744421	
11-23-2014	15:45:00.000+05:30	16:00:00.000+05:30											32					900000	
11-23-2014	16:00:00.000+05:30	16:15:00.000+05:30											88					900000	
11-23-2014	16:15:00.000+05:30	16:30:00.000+05:30																900000	
11-23-2014	16:30:00.000+05:30	16:45:00.000+05:30											145					406063	
11-23-2014	16:45:00.000+05:30	17:00:00.000+05:30				22.759334564209	88.3749771118164	22.7593574523926	88.3750381469727				372					284746	149999
11-23-2014	17:00:00.000+05:30	17:15:00.000+05:30				22.759334564209	88.3749694824219	22.7593574523926	88.3750381469727									900000	
11-23-2014	17:15:00.000+05:30	17:30:00.000+05:30				22.7593612670898	88.3749618530274	22.7593612670898	88.3749618530274									900000	
11-23-2014	17:30:00.000+05:30	17:45:00.000+05:30				22.7593364715576	88.3750381469727	22.7593364715576	88.3750381469727									900000	
11-23-2014	17:45:00.000+05:30	18:00:00.000+05:30				22.7593364715576	88.3750381469727	22.7593364715576	88.3750381469727									900000	
11-23-2014	18:00:00.000+05:30	18:15:00.000+05:30																900000	
11-23-2014	18:15:00.000+05:30	18:30:00.000+05:30				22.759334564209	88.3749618530274	22.7593593597412	88.3750381469727									900000	
11-23-2014	18:30:00.000+05:30	18:45:00.000+05:30				22.759334564209	88.3750381469727	22.759334564209	88.3750381469727				1					805409	
11-23-2014	18:45:00.000+05:30	19:00:00.000+05:30				22.7593097686768	88.3749618530274	22.7593364715576	88.3750381469727									659676	
11-23-2014	19:00:00.000+05:30	19:15:00.000+05:30				22.7593536376953	88.3750076293945	22.7593536376953	88.3750076293945									900000	
11-23-2014	19:15:00.000+05:30	19:30:00.000+05:30											24					900000	
11-23-2014	19:30:00.000+05:30	19:45:00.000+05:30											8					900000	
11-23-2014	19:45:00.000+05:30	20:00:00.000+05:30																900000	
11-23-2014	20:00:00.000+05:30	20:15:00.000+05:30											50					900000	
11-23-2014	20:15:00.000+05:30	20:30:00.000+05:30																900000	
11-23-2014	20:30:00.000+05:30	20:45:00.000+05:30				22.7592163085937	88.3748626708984	22.759334564209	88.3750381469727				120					900000	
11-23-2014	20:45:00.000+05:30	21:00:00.000+05:30				22.7593097686768	88.3749465942383	22.7593841552734	88.3750762939453				113					442943	
11-23-2014	21:00:00.000+05:30	21:15:00.000+05:30				22.7591857910156	88.3739318847656	22.759334564209	88.3750686645508				871					225152	495814
11-23-2014	21:15:00.000+05:30	21:30:00.000+05:30																900000	
11-23-2014	21:30:00.000+05:30	21:45:00.000+05:30											14					900000	
11-23-2014	21:45:00.000+05:30	22:00:00.000+05:30				22.759334564209	88.3750381469727	22.759334564209	88.3750381469727				3					900000	
11-23-2014	22:00:00.000+05:30	22:15:00.000+05:30																900000	
11-23-2014	22:15:00.000+05:30	22:30:00.000+05:30				22.759334564209	88.3750381469727	22.7599449157715	88.3752975463867	5.0062460899353	5.0062460899353	5.0062460899353						900000	
11-23-2014	22:30:00.000+05:30	22:45:00.000+05:30				22.7589778900146	88.3745040893555	22.7589778900146	88.3745040893555									900000	
11-23-2014	22:45:00.000+05:30	23:00:00.000+05:30				22.758975982666	88.3745040893555	22.759334564209	88.3750381469727									900000	
11-23-2014	23:00:00.000+05:30	23:15:00.000+05:30				22.7589778900146	88.3745040893555	22.7589778900146	88.3745040893555									900000	
11-23-2014	23:15:00.000+05:30	23:30:00.000+05:30				22.759334564209	88.3750381469727	22.759334564209	88.3750381469727									900000	
11-23-2014	23:30:00.000+05:30	23:45:00.000+05:30											2					731453	
11-23-2014	23:45:00.000+05:30	00:00:00.000+05:30											1					74914	
11-24-2014	00:00:00.000+05:30	00:15:00.000+05:30																829575	
11-24-2014	00:15:00.000+05:30	00:30:00.000+05:30											4					900000	
11-24-2014	00:30:00.000+05:30	00:45:00.000+05:30																900000	
11-24-2014	00:45:00.000+05:30	01:00:00.000+05:30																900000	
11-24-2014	01:00:00.000+05:30	01:15:00.000+05:30																900000	
11-24-2014	01:15:00.000+05:30	01:30:00.000+05:30																900000	
11-24-2014	01:30:00.000+05:30	01:45:00.000+05:30																900000	
11-24-2014	01:45:00.000+05:30	02:00:00.000+05:30																900000	
11-24-2014	02:00:00.000+05:30	02:15:00.000+05:30																900000	
